strategy,demand_ratio,total_demand_veh_h,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,side_merges_after_intervention,main_loaded_veh,main_arrived_veh,main_unfinished_veh,main_total_time_spent_s,main_total_wait_time_s,main_avg_wait_time_s,main_peak_queue_vehicles,side_loaded_veh,side_arrived_veh,side_unfinished_veh,side_total_time_spent_s,side_total_wait_time_s,side_avg_wait_time_s,side_peak_queue_vehicles,total_time_spent_s,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
uncontrolled,1:2,1000,0,0,0,0,0,167,167,0,9786.0,0.0,0.0,0,329,284,45,111876.0,61490.0,186.89969604863222,50,121662.0,333,667,500,501,451,50,0.25055555555555553,136.3059866962306,61490.0,50,263.6008869179601,118884.0,breakdown,3,1800.0,600.0,2400.0,240,45,5,496,501,0,0
uncontrolled,1:2,1000,0,0,0,0,0,167,167,0,9699.0,0.0,0.0,0,325,280,45,112628.0,62599.0,192.6123076923077,50,122327.0,333,667,500,501,447,54,0.24833333333333332,140.00671140939596,62599.0,54,267.37136465324386,119515.0,breakdown,4,1800.0,600.0,2400.0,251,45,9,492,501,0,0
uncontrolled,1:2,1000,0,0,0,0,0,167,167,0,9688.0,0.0,0.0,0,321,274,47,112034.0,62388.0,194.3551401869159,53,121722.0,333,667,500,501,441,60,0.245,141.43990929705217,62388.0,60,269.01814058956916,118637.0,breakdown,5,1800.0,600.0,2400.0,251,47,13,488,501,0,0
cooperative_limited,1:2,1000,89,1,88,89,82,167,167,0,9833.0,0.0,0.0,0,326,281,45,112123.0,62143.0,190.62269938650306,53,121956.0,333,667,500,501,448,53,0.24888888888888888,138.68973214285714,62143.0,53,266.04910714285717,119190.0,breakdown,1,1800.0,600.0,2400.0,244,45,8,493,501,0,0
cooperative_limited,1:2,1000,93,0,93,93,80,167,167,0,9984.0,0.0,0.0,0,318,272,46,113414.0,64393.0,202.4937106918239,53,123398.0,333,667,500,501,439,62,0.24388888888888888,146.65831435079727,64393.0,62,274.5763097949886,120539.0,breakdown,2,1800.0,600.0,2400.0,247,46,16,485,501,0,0
cooperative_limited,1:2,1000,86,1,85,86,88,167,167,0,9880.0,0.0,0.0,0,333,286,47,112041.0,62226.0,186.86486486486487,52,121921.0,333,667,500,501,453,48,0.25166666666666665,137.33774834437085,62226.0,48,262.52759381898454,118925.0,breakdown,3,1800.0,600.0,2400.0,241,47,1,500,501,0,0
cooperative_limited,1:2,1000,88,0,88,88,87,167,167,0,9798.0,0.0,0.0,0,325,279,46,112600.0,63369.0,194.98153846153846,53,122398.0,333,667,500,501,446,55,0.2477777777777778,142.04708520179372,63369.0,55,267.91255605381167,119489.0,breakdown,4,1800.0,600.0,2400.0,241,46,9,492,501,0,0
cooperative_limited,1:2,1000,88,0,88,88,80,167,167,0,9833.0,0.0,0.0,0,327,279,48,111561.0,62613.0,191.47706422018348,52,121394.0,333,667,500,501,446,55,0.2477777777777778,140.35874439461884,62613.0,55,265.2152466367713,118286.0,breakdown,5,1800.0,600.0,2400.0,243,48,7,494,501,0,0
uncontrolled,1:3,1000,0,0,0,0,0,125,125,0,7307.0,0.0,0.0,0,372,325,47,111838.0,55046.0,147.9731182795699,42,119145.0,250,750,500,500,450,50,0.25,122.28444444444445,55046.0,50,258.06,116127.0,breakdown,1,1800.0,600.0,2400.0,240,47,3,497,500,0,0
uncontrolled,1:3,1000,0,0,0,0,0,125,125,0,7428.0,0.0,0.0,0,367,322,45,112382.0,55585.0,151.45776566757493,42,119810.0,250,750,500,500,447,53,0.24833333333333332,124.32662192393737,55585.0,53,261.88366890380314,117062.0,breakdown,2,1800.0,600.0,2400.0,245,45,8,492,500,0,0
