strategy,total_demand_veh_h,demand_ratio,seed,metric,lower_is_better,uncontrolled_value,strategy_value,paired_delta
cooperative_limited,800,1:3,5,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:3,5,total_time_spent_s,True,127964.0,109658.0,-18306.0
ramp_fixed_4s,800,1:3,5,network_time_spent_s,True,90469.0,86172.0,-4297.0
ramp_fixed_4s,800,1:3,5,insertion_wait_time_s,True,37495.0,23486.0,-14009.0
ramp_fixed_4s,800,1:3,5,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:3,5,throughput_veh_h,False,800.0,800.0,0.0
ramp_on_demand_4s,800,1:3,5,total_time_spent_s,True,127964.0,121872.0,-6092.0
ramp_on_demand_4s,800,1:3,5,network_time_spent_s,True,90469.0,88766.0,-1703.0
ramp_on_demand_4s,800,1:3,5,insertion_wait_time_s,True,37495.0,33106.0,-4389.0
ramp_on_demand_4s,800,1:3,5,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:3,5,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:4,1,total_time_spent_s,True,25288.0,25288.0,0.0
cooperative_limited,800,1:4,1,network_time_spent_s,True,25288.0,25288.0,0.0
cooperative_limited,800,1:4,1,insertion_wait_time_s,True,0.0,0.0,0.0
cooperative_limited,800,1:4,1,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:4,1,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:4,1,total_time_spent_s,True,25288.0,28034.0,2746.0
ramp_fixed_4s,800,1:4,1,network_time_spent_s,True,25288.0,28034.0,2746.0
ramp_fixed_4s,800,1:4,1,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,1,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,1,throughput_veh_h,False,800.0,800.0,0.0
ramp_on_demand_4s,800,1:4,1,total_time_spent_s,True,25288.0,27103.0,1815.0
ramp_on_demand_4s,800,1:4,1,network_time_spent_s,True,25288.0,27103.0,1815.0
ramp_on_demand_4s,800,1:4,1,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:4,1,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:4,1,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:4,2,total_time_spent_s,True,25380.0,25380.0,0.0
cooperative_limited,800,1:4,2,network_time_spent_s,True,25380.0,25380.0,0.0
cooperative_limited,800,1:4,2,insertion_wait_time_s,True,0.0,0.0,0.0
cooperative_limited,800,1:4,2,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:4,2,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:4,2,total_time_spent_s,True,25380.0,28369.0,2989.0
ramp_fixed_4s,800,1:4,2,network_time_spent_s,True,25380.0,28369.0,2989.0
ramp_fixed_4s,800,1:4,2,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,2,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,2,throughput_veh_h,False,800.0,800.0,0.0
ramp_on_demand_4s,800,1:4,2,total_time_spent_s,True,25380.0,26936.0,1556.0
ramp_on_demand_4s,800,1:4,2,network_time_spent_s,True,25380.0,26936.0,1556.0
ramp_on_demand_4s,800,1:4,2,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:4,2,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:4,2,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:4,3,total_time_spent_s,True,25476.0,25476.0,0.0
cooperative_limited,800,1:4,3,network_time_spent_s,True,25476.0,25476.0,0.0
cooperative_limited,800,1:4,3,insertion_wait_time_s,True,0.0,0.0,0.0
cooperative_limited,800,1:4,3,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:4,3,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:4,3,total_time_spent_s,True,25476.0,28247.0,2771.0
ramp_fixed_4s,800,1:4,3,network_time_spent_s,True,25476.0,28247.0,2771.0
ramp_fixed_4s,800,1:4,3,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,3,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,3,throughput_veh_h,False,800.0,800.0,0.0
ramp_on_demand_4s,800,1:4,3,total_time_spent_s,True,25476.0,27218.0,1742.0
ramp_on_demand_4s,800,1:4,3,network_time_spent_s,True,25476.0,27218.0,1742.0
ramp_on_demand_4s,800,1:4,3,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:4,3,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:4,3,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:4,4,total_time_spent_s,True,25178.0,25178.0,0.0
cooperative_limited,800,1:4,4,network_time_spent_s,True,25178.0,25178.0,0.0
cooperative_limited,800,1:4,4,insertion_wait_time_s,True,0.0,0.0,0.0
cooperative_limited,800,1:4,4,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:4,4,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:4,4,total_time_spent_s,True,25178.0,28133.0,2955.0
ramp_fixed_4s,800,1:4,4,network_time_spent_s,True,25178.0,28133.0,2955.0
ramp_fixed_4s,800,1:4,4,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,4,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,4,throughput_veh_h,False,800.0,800.0,0.0
ramp_on_demand_4s,800,1:4,4,total_time_spent_s,True,25178.0,27140.0,1962.0
ramp_on_demand_4s,800,1:4,4,network_time_spent_s,True,25178.0,27140.0,1962.0
ramp_on_demand_4s,800,1:4,4,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:4,4,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:4,4,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:4,5,total_time_spent_s,True,25337.0,25337.0,0.0
cooperative_limited,800,1:4,5,network_time_spent_s,True,25337.0,25337.0,0.0
cooperative_limited,800,1:4,5,insertion_wait_time_s,True,0.0,0.0,0.0
cooperative_limited,800,1:4,5,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:4,5,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:4,5,total_time_spent_s,True,25337.0,28315.0,2978.0
ramp_fixed_4s,800,1:4,5,network_time_spent_s,True,25337.0,28315.0,2978.0
ramp_fixed_4s,800,1:4,5,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,5,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:4,5,throughput_veh_h,False,800.0,800.0,0.0
ramp_on_demand_4s,800,1:4,5,total_time_spent_s,True,25337.0,27310.0,1973.0
ramp_on_demand_4s,800,1:4,5,network_time_spent_s,True,25337.0,27310.0,1973.0
ramp_on_demand_4s,800,1:4,5,insertion_wait_time_s,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:4,5,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:4,5,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:5,1,total_time_spent_s,True,25446.0,25446.0,0.0
cooperative_limited,800,1:5,1,network_time_spent_s,True,25446.0,25446.0,0.0
cooperative_limited,800,1:5,1,insertion_wait_time_s,True,0.0,0.0,0.0
cooperative_limited,800,1:5,1,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:5,1,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:5,1,total_time_spent_s,True,25446.0,28380.0,2934.0
ramp_fixed_4s,800,1:5,1,network_time_spent_s,True,25446.0,28380.0,2934.0
ramp_fixed_4s,800,1:5,1,insertion_wait_time_s,True,0.0,0.0,0.0
