total_demand_veh_h,demand_ratio,seed,metric,lower_is_better,uncontrolled_value,cooperative_value,paired_delta
1200,1:2,1,network_time_spent_s,True,126634.0,126485.0,-149.0
1200,1:2,1,insertion_wait_time_s,True,342379.0,330212.0,-12167.0
1200,1:2,1,unfinished_vehicles,True,138.0,130.0,-8.0
1200,1:2,1,throughput_veh_h,False,924.0,940.0000000000001,16.000000000000114
1200,1:2,2,total_time_spent_s,True,465288.0,474593.0,9305.0
1200,1:2,2,network_time_spent_s,True,127071.0,127306.0,235.0
1200,1:2,2,insertion_wait_time_s,True,338217.0,347287.0,9070.0
1200,1:2,2,unfinished_vehicles,True,134.0,142.0,8.0
1200,1:2,2,throughput_veh_h,False,932.0,915.9999999999999,-16.000000000000114
1200,1:2,3,total_time_spent_s,True,468076.0,474116.0,6040.0
1200,1:2,3,network_time_spent_s,True,126985.0,127302.0,317.0
1200,1:2,3,insertion_wait_time_s,True,341091.0,346814.0,5723.0
1200,1:2,3,unfinished_vehicles,True,138.0,142.0,4.0
1200,1:2,3,throughput_veh_h,False,924.0,915.9999999999999,-8.000000000000114
1200,1:2,4,total_time_spent_s,True,470739.0,464109.0,-6630.0
1200,1:2,4,network_time_spent_s,True,126761.0,126751.0,-10.0
1200,1:2,4,insertion_wait_time_s,True,343978.0,337358.0,-6620.0
1200,1:2,4,unfinished_vehicles,True,142.0,134.0,-8.0
1200,1:2,4,throughput_veh_h,False,915.9999999999999,932.0,16.000000000000114
1200,1:2,5,total_time_spent_s,True,461308.0,450994.0,-10314.0
1200,1:2,5,network_time_spent_s,True,126017.0,126144.0,127.0
1200,1:2,5,insertion_wait_time_s,True,335291.0,324850.0,-10441.0
1200,1:2,5,unfinished_vehicles,True,136.0,127.0,-9.0
1200,1:2,5,throughput_veh_h,False,928.0,946.0,18.0
1200,1:3,1,total_time_spent_s,True,477236.0,486324.0,9088.0
1200,1:3,1,network_time_spent_s,True,123546.0,123731.0,185.0
1200,1:3,1,insertion_wait_time_s,True,353690.0,362593.0,8903.0
1200,1:3,1,unfinished_vehicles,True,143.0,149.0,6.0
1200,1:3,1,throughput_veh_h,False,914.0,901.9999999999999,-12.000000000000114
1200,1:3,2,total_time_spent_s,True,499983.0,488089.0,-11894.0
1200,1:3,2,network_time_spent_s,True,124371.0,124427.0,56.0
1200,1:3,2,insertion_wait_time_s,True,375612.0,363662.0,-11950.0
1200,1:3,2,unfinished_vehicles,True,154.0,147.0,-7.0
1200,1:3,2,throughput_veh_h,False,892.0,905.9999999999999,13.999999999999886
1200,1:3,3,total_time_spent_s,True,505559.0,509345.0,3786.0
1200,1:3,3,network_time_spent_s,True,124240.0,124517.0,277.0
1200,1:3,3,insertion_wait_time_s,True,381319.0,384828.0,3509.0
1200,1:3,3,unfinished_vehicles,True,163.0,168.0,5.0
1200,1:3,3,throughput_veh_h,False,874.0,864.0,-10.0
1200,1:3,4,total_time_spent_s,True,494610.0,480176.0,-14434.0
1200,1:3,4,network_time_spent_s,True,123387.0,123398.0,11.0
1200,1:3,4,insertion_wait_time_s,True,371223.0,356778.0,-14445.0
1200,1:3,4,unfinished_vehicles,True,156.0,150.0,-6.0
1200,1:3,4,throughput_veh_h,False,888.0,900.0,12.0
1200,1:3,5,total_time_spent_s,True,497520.0,490529.0,-6991.0
1200,1:3,5,network_time_spent_s,True,123948.0,124076.0,128.0
1200,1:3,5,insertion_wait_time_s,True,373572.0,366453.0,-7119.0
1200,1:3,5,unfinished_vehicles,True,156.0,151.0,-5.0
1200,1:3,5,throughput_veh_h,False,888.0,898.0,10.0
1200,1:4,1,total_time_spent_s,True,482673.0,481263.0,-1410.0
1200,1:4,1,network_time_spent_s,True,121373.0,121730.0,357.0
1200,1:4,1,insertion_wait_time_s,True,361300.0,359533.0,-1767.0
1200,1:4,1,unfinished_vehicles,True,148.0,144.0,-4.0
1200,1:4,1,throughput_veh_h,False,904.0,912.0000000000001,8.000000000000114
1200,1:4,2,total_time_spent_s,True,485782.0,492568.0,6786.0
1200,1:4,2,network_time_spent_s,True,121693.0,122072.0,379.0
1200,1:4,2,insertion_wait_time_s,True,364089.0,370496.0,6407.0
1200,1:4,2,unfinished_vehicles,True,148.0,155.0,7.0
1200,1:4,2,throughput_veh_h,False,904.0,890.0,-14.0
1200,1:4,3,total_time_spent_s,True,465717.0,489317.0,23600.0
1200,1:4,3,network_time_spent_s,True,121004.0,121559.0,555.0
1200,1:4,3,insertion_wait_time_s,True,344713.0,367758.0,23045.0
1200,1:4,3,unfinished_vehicles,True,135.0,151.0,16.0
1200,1:4,3,throughput_veh_h,False,930.0000000000001,898.0,-32.000000000000114
1200,1:4,4,total_time_spent_s,True,477020.0,464699.0,-12321.0
1200,1:4,4,network_time_spent_s,True,120972.0,121048.0,76.0
1200,1:4,4,insertion_wait_time_s,True,356048.0,343651.0,-12397.0
1200,1:4,4,unfinished_vehicles,True,145.0,138.0,-7.0
1200,1:4,4,throughput_veh_h,False,910.0,924.0,14.0
1200,1:4,5,total_time_spent_s,True,475348.0,484992.0,9644.0
1200,1:4,5,network_time_spent_s,True,121355.0,121672.0,317.0
1200,1:4,5,insertion_wait_time_s,True,353993.0,363320.0,9327.0
1200,1:4,5,unfinished_vehicles,True,139.0,145.0,6.0
1200,1:4,5,throughput_veh_h,False,922.0,910.0,-12.0
1200,1:5,1,total_time_spent_s,True,380202.0,476847.0,96645.0
1200,1:5,1,network_time_spent_s,True,117567.0,120251.0,2684.0
1200,1:5,1,insertion_wait_time_s,True,262635.0,356596.0,93961.0
1200,1:5,1,unfinished_vehicles,True,81.0,143.0,62.0
1200,1:5,1,throughput_veh_h,False,1038.0,914.0,-124.0
1200,1:5,2,total_time_spent_s,True,403961.0,481095.0,77134.0
1200,1:5,2,network_time_spent_s,True,119028.0,120615.0,1587.0
1200,1:5,2,insertion_wait_time_s,True,284933.0,360480.0,75547.0
1200,1:5,2,unfinished_vehicles,True,94.0,147.0,53.0
1200,1:5,2,throughput_veh_h,False,1011.9999999999999,905.9999999999999,-106.0
1200,1:5,3,total_time_spent_s,True,405903.0,476812.0,70909.0
1200,1:5,3,network_time_spent_s,True,118620.0,120488.0,1868.0
1200,1:5,3,insertion_wait_time_s,True,287283.0,356324.0,69041.0
1200,1:5,3,unfinished_vehicles,True,94.0,144.0,50.0
1200,1:5,3,throughput_veh_h,False,1011.9999999999999,912.0000000000001,-99.99999999999977
1200,1:5,4,total_time_spent_s,True,379955.0,484788.0,104833.0
1200,1:5,4,network_time_spent_s,True,118028.0,119930.0,1902.0
1200,1:5,4,insertion_wait_time_s,True,261927.0,364858.0,102931.0
1200,1:5,4,unfinished_vehicles,True,76.0,148.0,72.0
1200,1:5,4,throughput_veh_h,False,1048.0,904.0,-144.0
1200,1:5,5,total_time_spent_s,True,415687.0,480869.0,65182.0
1200,1:5,5,network_time_spent_s,True,118931.0,120185.0,1254.0
1200,1:5,5,insertion_wait_time_s,True,296756.0,360684.0,63928.0
1200,1:5,5,unfinished_vehicles,True,98.0,146.0,48.0
1200,1:5,5,throughput_veh_h,False,1004.0000000000001,908.0,-96.00000000000011
