strategy,total_demand_veh_h,demand_ratio,seed,metric,lower_is_better,uncontrolled_value,strategy_value,paired_delta
ramp_fixed_4s,800,1:3,4,total_time_spent_s,True,120820.0,132134.0,11314.0
ramp_fixed_4s,800,1:3,4,network_time_spent_s,True,91693.0,97313.0,5620.0
ramp_fixed_4s,800,1:3,4,insertion_wait_time_s,True,29127.0,34821.0,5694.0
ramp_fixed_4s,800,1:3,4,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:3,4,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_6s,800,1:3,4,total_time_spent_s,True,120820.0,131016.0,10196.0
ramp_fixed_6s,800,1:3,4,network_time_spent_s,True,91693.0,97908.0,6215.0
ramp_fixed_6s,800,1:3,4,insertion_wait_time_s,True,29127.0,33108.0,3981.0
ramp_fixed_6s,800,1:3,4,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_6s,800,1:3,4,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_8s,800,1:3,4,total_time_spent_s,True,120820.0,136503.0,15683.0
ramp_fixed_8s,800,1:3,4,network_time_spent_s,True,91693.0,99709.0,8016.0
ramp_fixed_8s,800,1:3,4,insertion_wait_time_s,True,29127.0,36794.0,7667.0
ramp_fixed_8s,800,1:3,4,unfinished_vehicles,True,0.0,18.0,18.0
ramp_fixed_8s,800,1:3,4,throughput_veh_h,False,800.0,764.0,-36.0
cooperative_limited,800,1:3,5,total_time_spent_s,True,127964.0,170220.0,42256.0
cooperative_limited,800,1:3,5,network_time_spent_s,True,90469.0,100882.0,10413.0
cooperative_limited,800,1:3,5,insertion_wait_time_s,True,37495.0,69338.0,31843.0
cooperative_limited,800,1:3,5,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:3,5,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:3,5,total_time_spent_s,True,127964.0,109658.0,-18306.0
